酒蔵,ブランド,商品名,メイン表採否,除外理由,ブランド史,個別商品の歴史,根拠区分,根拠URL,公開ページ日,ページ更新日,根拠抜粋,調査日
亀齢酒造,亀齢萬年,亀齢萬年 山田錦 生酒,収録,,亀齢の長寿・繁栄の意味をさらに強く打ち出す派生銘柄。少なくとも2018年にはANA国際線向け限定大吟醸が「人気の亀齢萬年ブランド」として販売されており、現在も山田錦・原酒五拾など限定性の高い商品群に用いられている。,少なくとも2016年5月31日には専門流通ページで取扱いが確認できる亀齢萬年の生酒。山田錦で醸した酒を蔵内約マイナス3℃で氷温長期熟成し、新酒感と熟成の丸みを両立させる設計で継続している。,個別沿革確認,https://www.hiroshimasake.com/product/15,2016-05-31,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢萬年 山田錦(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 5.00 1 件のレビュー Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 2,2026-09-06
亀齢酒造,亀齢萬年,亀齢萬年 山田錦おりがらみ 生酒,収録,,亀齢の長寿・繁栄の意味をさらに強く打ち出す派生銘柄。少なくとも2018年にはANA国際線向け限定大吟醸が「人気の亀齢萬年ブランド」として販売されており、現在も山田錦・原酒五拾など限定性の高い商品群に用いられている。,生酒・おりがらみという仕立てで通常品と区別される。2026-09-06時点で現行の流通・商品ページに現行品として掲載され、使用米 山田錦、精米歩合 60％の設計で展開されている。,現行商品位置づけ,https://www.hiroshimasake.com/product/564,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢萬年 山田錦(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 返品特,2026-09-06
亀齢酒造,亀齢萬年,亀齢萬年 純米大吟醸原酒五拾 生酒,収録,,亀齢の長寿・繁栄の意味をさらに強く打ち出す派生銘柄。少なくとも2018年にはANA国際線向け限定大吟醸が「人気の亀齢萬年ブランド」として販売されており、現在も山田錦・原酒五拾など限定性の高い商品群に用いられている。,亀齢萬年の原酒五拾系列で、広島・造賀で復活した「線状心白米」を使う限定生酒。栽培が一度途絶えた米を西垣杜氏の希望で県内復活させ、その米の個性を50%精米の純米大吟醸原酒として表現している。,個別沿革確認,https://www.hiroshimasake.com/product/552,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢萬年 純米大吟醸原酒五拾 生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 返品特約に関する重要事項 お酒詳細 亀齢萬年 純米大吟醸原酒五拾 生酒 飲みごたえ抜群の辛口。 | 【広島,2026-09-06
亀齢酒造,亀齢萬年,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒,収録,,亀齢の長寿・繁栄の意味をさらに強く打ち出す派生銘柄。少なくとも2018年にはANA国際線向け限定大吟醸が「人気の亀齢萬年ブランド」として販売されており、現在も山田錦・原酒五拾など限定性の高い商品群に用いられている。,原酒五拾を袋吊りで搾り、さらにおりを絡めて瓶詰めする限定派生品。復活した造賀産の線状心白米を使う系列の中でも、搾り方とおりの有無で通常の原酒五拾との差を出している。,個別沿革確認,https://www.hiroshimasake.com/product/412,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢萬年 純米吟醸原酒五拾 袋吊りおりがらみ 生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 返品特約に関する重要事項 お酒詳細 限定品の袋吊りおりがらみです。 | 【広島,2026-09-06
今田酒造本店,FUKUCHO LEGACY,FUKUCHO LEGACY I,収録,,先代杜氏が残した1989年醸造の大吟醸雫酒を長期冷蔵熟成し、現代の富久長の仕込みへつなぐシリーズ。LEGACY I・IIは、その熟成酒を仕込み水の代わりに使う貴醸酒として、過去の技術と現在の造りを結びつけている。,1989年から冷蔵熟成してきたコンテスト用大吟醸雫酒を、三段仕込みの留添えで仕込み水の代わりに使う貴醸酒。先代杜氏の広島吟醸造りを現代の富久長へつなぐために生まれたLEGACYシリーズの第一系統である。,個別沿革確認,https://fukucho.jp/products/legacy1,,,先代の保広杜氏が伝えた広島吟醸造りの技と、現代の富久長の融合を果たすために、敢えて原料の一部として使いました。,2026-09-06
今田酒造本店,FUKUCHO LEGACY,FUKUCHO LEGACY II,収録,,先代杜氏が残した1989年醸造の大吟醸雫酒を長期冷蔵熟成し、現代の富久長の仕込みへつなぐシリーズ。LEGACY I・IIは、その熟成酒を仕込み水の代わりに使う貴醸酒として、過去の技術と現在の造りを結びつけている。,1989年醸造の長期熟成大吟醸雫酒を仕込みに用いるLEGACYの考え方を継ぎ、黄麹と白麹を併用して甘味と酸味を組み合わせた第二系統。過去の酒を原料として現代の醸造へ接続するシリーズである。,個別沿革確認,https://fukucho.jp/products/legacy2,,,先代の保広杜氏が伝えた広島吟醸造りの技と、現代の富久長の融合を果たすために、敢えて原料の一部として使いました。,2026-09-06
今田酒造本店,富久長,八反草 サタケシリーズ GENKEI,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,広島の軟水醸造法と東広島のサタケの精米技術を結び直す企画から生まれた商品。玄米に近い形で磨く原形精米（真吟）を採用し、120年以上前の広島吟醸の技術史を現代の精米技術で再解釈している。,個別沿革確認,https://fukucho.jp/products/hattansogenkei,,,三浦仙三郎が確立した軟水醸造法と、日本で初めての動力精米機を開発したサタケ（東広島市）の精米技術によって生まれた広島吟醸酒。120年余りの月日を経て、吟醸酒は新たなステージへ扉を開きます。イノベーションの着眼点は米のカタチ。米を球形に磨く従来型から、玄米と同じ形に磨く原形精米（真吟）へ。最新鋭の精米機が精米60%で従来型の精米40%と同じたんぱく質の削減率を実現しました。直汲み原酒を1本ずつ丁寧に瓶火入れ、瓶貯蔵しているので、搾りたてのフレッシュな風味を保っています。 Art,2026-09-06
今田酒造本店,富久長,八反草 サタケシリーズ HENPEI,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,広島の軟水醸造法とサタケの精米技術を組み合わせるシリーズで、薄く磨く扁平精米（真吟）を採用。GENKEIと対になる商品として、精米形状の違いを酒質へ反映する現代的な実験ラインである。,個別沿革確認,https://fukucho.jp/products/hattansohenpei,,,三浦仙三郎が確立した軟水醸造法と、日本で初めての動力精米機を開発したサタケ（東広島市）の精米技術によって生まれた広島吟醸酒。120年余りの月日を経て、吟醸酒は新たなステージへ扉を開きます。イノベーションの着眼点は米のカタチ。米を球形に磨く従来型から、薄く磨く扁平精米（真吟）へ。最新鋭の精米機が精米60%で従来型の精米40%と同じたんぱく質の削減率を実現しました。直汲み原酒を1本ずつ丁寧に瓶火入れ、瓶貯蔵しているので、搾りたてのフレッシュな風味を保っています。 Artwork:,2026-09-06
今田酒造本店,富久長,八反草 純米 ハイブリッド生酛 特別栽培米R3,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,2022BYから生酛由来の選抜乳酸菌を使う設計へ発展した。生酛という仕立てで通常品と区別される。原形精米（真吟）を商品設計に取り入れている。,商品ページ沿革,https://fukucho.jp/products/hybridkimoto-r3-2021by,,,"自然界の様々な微生物の営みや法則を深く理解した先人の知恵によって磨かれてきた日本の酒造り。私たちも自然から多くのことを感じ、学びながら生きる喜びにあふれる酒造りをしたいと思います。2022BYよりハイブリッド生酛は生酛から選抜した乳酸菌を使用。原料米は唯一富久長が育てる広島在来品種の八反草。掛米の80％に原形精米したR３圃場の特別栽培米を使用しています。 13,000円（税込）以上で配送料無料（北海道・沖縄は1,100円割引） ※ご注文内容によって止むを得ず2個口になる場合は",2026-09-06
今田酒造本店,富久長,八反草 純米 ハイブリッド生酛 特別栽培米R4,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,2022BYから生酛由来の選抜乳酸菌を使う設計へ発展した。生酛という仕立てで通常品と区別される。原形精米（真吟）を商品設計に取り入れている。,商品ページ沿革,https://fukucho.jp/products/hybridkimoto-r4-2022by,,,"自然界の様々な微生物の営みや法則を深く理解した先人の知恵によって磨かれてきた日本の酒造り。私たちも自然から多くのことを感じ、学びながら生きる喜びにあふれる酒を造りたいと思います。2022BYよりハイブリッド生酛は生酛から選抜した乳酸菌を使用。原料米は唯一富久長が育てる広島在来品種の八反草。掛米の80％に原形精米したR4圃場の特別栽培米を使用しています。 13,000円（税込）以上で配送料無料（北海道・沖縄は1,100円割引） ※ご注文内容によって止むを得ず2個口になる場合は別",2026-09-06
今田酒造本店,富久長,八反草 純米 軟水仕込 辛口,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,低精米では溶けにくい八反草に、蒸米工程の工夫・真吟精米・広島令和一号酵母を組み合わせて開発された新しい辛口純米。2025年4月10日に新商品として発売され、2026年IWC Junmai部門でシルバーを受賞した。,個別沿革確認,https://fukucho.jp/products/hattansojunmai,,,"🎖️ 2026年 IWC2026 Junmai部門 シルバーメダル 13,000円（税込）以上で配送料無料（北海道・沖縄は1,100円割引） ※ご注文内容によって止むを得ず2個口になる場合は別途送料がかかります。",2026-09-06
今田酒造本店,富久長,八反草 純米吟醸,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,今田酒造本店が復活栽培した広島在来の酒米「八反草」を伝統の吟醸造りで醸すフラッグシップ。2021年CINVE、2022年Kura Master、2026年BANGKOK SAKE CHALLENGEなど国内外で受賞を重ねている。,個別沿革確認,https://fukucho.jp/products/hattanso-junmaiginjo,,,富久長が復活栽培した八反草を、安芸津で受け継いだ伝統の吟醸造りで醸しました。口当たりは柔らかで、旨味たっぷりなのに見事なまでスカッと切れるあと口のよさは、八反草ならでは。ポテンシャルを最大限に引き出した富久長のフラッグシップといえる銘柄です。直汲み原酒を1本ずつ丁寧に瓶火入れ、瓶貯蔵しているので、搾りたてのフレッシュな風味を保っています。🎖️ 2026年 IWC2026 Junmai部門 シルバーメダル🎖️ 2026年 タイ BANGKOK SAKE CHALLENGE 金賞,2026-09-06
今田酒造本店,富久長,八反草 純米吟醸 ハイブリッド生酛,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,2013年、富久長が高温糖化と伝統的な生酛系酒母を組み合わせた「ハイブリッド酒母」を開発。その技術を復活栽培した八反草へ適用し、複雑味を引き出す商品へ発展させた。,個別沿革確認,https://fukucho.jp/products/hybridkimoto-junmaiginjo,,,この新しい技術に磨きをかけ、富久長が復活栽培を遂げた八反草らしさを最大限に引き出したのが、ハイブリッド生酛です。,2026-09-06
今田酒造本店,富久長,八反草 純米大吟醸,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,復活栽培した八反草を減農薬・減肥料で育て、純米大吟醸として仕立てる少量生産品。年間生産は約1200本と案内され、2026年SAKE COMPETITIONでSILVERを受賞した。,個別沿革確認,https://fukucho.jp/products/daiginjo,,,"原料米は種もみから復活させた広島最古の酒米の在来品種、八反草を減農薬、減肥料で育てました。 | 🎖️ 2026年 SAKE COMPETITION 2026 SILVER 年間生産本数：約1200本 13,000円（税込）以上で配送料無料（北海道・沖縄は1,100円割引） ※ご注文内容によって止むを得ず2個口になる場合は別途送料がかかります。",2026-09-06
今田酒造本店,富久長,八反草 純米大吟醸 はしり,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,八反草純米大吟醸の搾り始めに流れ出る「あらばしり」部分を瓶詰めする限定商品。年間生産約300本とされ、同じ純米大吟醸の中でも初期搾汁だけを分けた派生品として展開されている。,個別沿革確認,https://fukucho.jp/products/daiginjo_hashiri,,,原料米は種もみから復活させた広島最古の酒米の在来品種、八反草を減農薬、減肥料で育てました。,2026-09-06
今田酒造本店,富久長,八反草 純米大吟醸 妙花風,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,復活栽培した八反草を用い、袋吊りで自然に滴る最初の雫だけを集める希少な純米大吟醸。名は世阿弥が説いた芸の最高位「妙花風」に由来し、年間生産約90本と案内されている。,個別沿革確認,https://fukucho.jp/products/daiginjo_myokafu,,,原料米は種もみから復活させた広島最古の酒米の在来品種、八反草を減農薬、減肥料で育てました。,2026-09-06
今田酒造本店,富久長,山田錦 純米吟醸,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,今田美穂が杜氏になって初めて挑戦した思い入れのある銘柄。「純米吟醸でも造りは純米大吟醸と同じくらい極める」という考えで設計され、富久長の顔として長く親しまれてきた。,個別沿革確認,https://fukucho.jp/products/yamadanishiki-junmaiginjo,,,「精米歩合は純米吟醸でも、造りは純米大吟醸と同じくらい極めよう」と、今田美穂が杜氏になって初めて挑戦した思い入れのある銘柄です。,2026-09-06
今田酒造本店,富久長,海風土 Seafood 純米,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,2026年 IWC2026 Junmai部門 大会推奨メダル、2026年 フランス KURA MASTER 純米酒部門 プラチナの実績が商品ページに記録されている。2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 国産米、精米歩合 60% / 70%の設計で展開されている。,商品ページ沿革,https://fukucho.jp/products/seafood,,,レモンのような爽やかな飲み心地の富久長。キリッとした酸味と日本酒らしい柔らかな後口が、牡蠣や魚介のおいしさを引き立てます。酸度が高く、原酒でアルコール度数13度に仕上げた軽快な口当たりは、和食だけでなく、イタリアンやフレンチとの相性も抜群。よく冷やして白ワイン感覚でお楽しみください。1本ずつ丁寧に瓶貯蔵しているので、搾りたてのフレッシュな風味を保っています。風味保護のため必ず冷蔵庫で保管してください。🎖️ 2026年 IWC2026 Junmai部門 大会推奨メダル🎖️ 20,2026-09-06
今田酒造本店,富久長,秋櫻〈コスモス〉 純米 ひやおろし,収録,,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,季節商品として展開される。ひやおろしという仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米の設計で展開されている。,現行商品位置づけ,https://fukucho.jp/products/cosmos,,,軟水醸造ならではの柔らかい旨味を大切にしながら、辛口にすっきりと仕上げて、富久長らしいひやおろしを表現しています。,2026-09-06
