record_id,酒蔵,ブランド,商品名,正式名称,販売状態,販売状態確認日,特定名称,精米歩合,アルコール度数,日本酒度,酸度,アミノ酸度,甘辛度,使用米,酵母,製法,おすすめ温度,おすすめ酒器,料理ペアリング,おすすめシーン,容量,価格,発売時期,終売時期,備考,詳細ファイル,主出典ID,出典数
KIREI_17CE980B5C,亀齢酒造,亀齢,亀齢萬年 山田錦 生酒,亀齢萬年 山田錦 生酒,販売中,2026-09-05,,60％,17度,,,,,山田錦 ●精米歩合：60％ ●原材料名：米・米麹 ●アルコール：17度 ●甘辛：辛口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独自文化,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢萬年 山田錦 生酒.md,SRC_F353D054B4B4,2
KIREI_A3B977990E,亀齢酒造,亀齢,亀齢萬年 山田錦おりがらみ 生酒,亀齢萬年 山田錦おりがらみ 生酒,販売中,2026-09-05,,60％,17度,,,,,山田錦 ●精米歩合：60％ ●原材料名：米・米麹 ●アルコール：17度 ●甘辛：辛口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独自文化,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢萬年 山田錦おりがらみ 生酒.md,SRC_CAD6CD4DAA46,2
KIREI_B5C8EF9BE2,亀齢酒造,亀齢,亀齢萬年 生酒 純米六拾,亀齢萬年 生酒 純米六拾,不明,2026-09-05,純米酒,,,,,,,,,,,,,,,,,,2026年蔵開き限定酒,亀齢酒造/亀齢萬年 生酒 純米六拾.md,SRC_F6062DB1B776,1
KIREI_B8A333107C,亀齢酒造,亀齢,亀齢萬年 純米大吟醸原酒五拾 生酒,亀齢萬年 純米大吟醸原酒五拾 生酒,販売中,2026-09-05,純米大吟醸,50％,17度,,,,,広島造賀産線状心白米100% ●精米歩合：50％ ●原材料名：米・米麹 ●アルコール：17度 ●甘辛：辛口 720mlはこちら 亀齢酒造株式会社 東広島市西条本,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢萬年 純米大吟醸原酒五拾 生酒.md,SRC_9AABB0C4D005,2
KIREI_47DC5CE01D,亀齢酒造,亀齢,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒,販売中,2026-09-05,純米大吟醸,50％,18度,,,,,広島造賀産線状心白米100% ●精米歩合：50％ ●原材料名：米・米麹 ●アルコール：18度 ●甘辛：辛口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒.md,SRC_C25B0748E0EB,2
KIREI_9D20A5F5ED,亀齢酒造,亀齢,吉田屋の酒,吉田屋の酒,販売中,2026-09-05,,,,,,,,,,,,,,,,,,,公式直売所の主な販売酒,亀齢酒造/吉田屋の酒.md,SRC_08E067004136,1
KIREI_90BEEB9155,亀齢酒造,亀齢,大吟醸 創,大吟醸 創,販売中,2026-09-05,大吟醸,,,,,,,,,,,,,,,,,,公式直売所の主な販売酒,亀齢酒造/大吟醸 創.md,SRC_08E067004136,1
KIREI_8EC29E7CEC,亀齢酒造,亀齢,純米大吟醸 亀香,純米大吟醸 亀香,販売中,2026-09-05,純米大吟醸,,,,,,,,,,,,,,,,,,公式直売所の主な販売酒,亀齢酒造/純米大吟醸 亀香.md,SRC_08E067004136,1
IMADA_60D9636834,今田酒造本店,富久長,Bon Time Style:B,Bon Time Style:B,不明,2026-09-05,,,,,,,,,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/Bon Time Style_B.md,SRC_D9C3CD3B7176,1
IMADA_C2D74E39B9,今田酒造本店,富久長,Bon Time Style:B Sparkling,Bon Time Style:B Sparkling,不明,2026-09-05,,,,,,,,,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/Bon Time Style_B Sparkling.md,SRC_E12319A0E6D6,1
IMADA_9F8E60B678,今田酒造本店,富久長,FUKUCHO LEGACY I,FUKUCHO LEGACY I,販売中,2026-09-05,,,,,,,,兵庫県特A地区山田錦 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ /,,,冷酒 / 常温,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/FUKUCHO LEGACY I.md,SRC_AC4892B4E3D2,1
IMADA_E619087310,今田酒造本店,富久長,FUKUCHO LEGACY II,FUKUCHO LEGACY II,販売中,2026-09-05,,,,,,,,兵庫県特A地区山田錦 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ /,,,冷酒 / 常温,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/FUKUCHO LEGACY II.md,SRC_317C4D11594E,1
IMADA_14A5E9BCC4,今田酒造本店,富久長,Fukucho “Forgotten Fortune” Junmai Sake,Fukucho “Forgotten Fortune” Junmai Sake,不明,2026-09-05,,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 60% 掛米 : 70% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 一回火入,,,冷酒 / 常温,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない / アメリカ限定商品,今田酒造本店/Fukucho “Forgotten Fortune” Junmai Sake.md,SRC_525B0514A4F2,1
IMADA_93398E78C5,今田酒造本店,富久長,Fukucho “Moon on the Water” Junmai Ginjo Sake,Fukucho “Moon on the Water” Junmai Ginjo Sake,不明,2026-09-05,,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 16％ 酵母 広島県酵母のブレンド 酒母 速醸 仕,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない / アメリカ限定商品,今田酒造本店/Fukucho “Moon on the Water” Junmai Ginjo Sake.md,SRC_93D730E67267,1
IMADA_84939AC790,今田酒造本店,富久長,Fukucho “Seaside” Junmai Sparkling Sake,Fukucho “Seaside” Junmai Sparkling Sake,不明,2026-09-05,,,,,,,,広島県安芸高田市産 八反草（契約栽培） / 国産米 精米歩合 麹米 : 60% 掛米 : 70% アルコール分 13％ 酵母 広島県酵母 酒母 速醸 仕様 原酒,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない / アメリカ限定商品,今田酒造本店/Fukucho “Seaside” Junmai Sparkling Sake.md,SRC_E69849A28856,1
IMADA_CAEA3E19FD,今田酒造本店,富久長,八反草 サタケシリーズ GENKEI,八反草 サタケシリーズ GENKEI,販売中,2026-09-05,,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% 原形精米 アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み,,,冷酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 サタケシリーズ GENKEI.md,SRC_957DFB5A95AA,1
IMADA_59B171D412,今田酒造本店,富久長,八反草 サタケシリーズ GENKEI 生酒,八反草 サタケシリーズ GENKEI 生酒,不明,2026-09-05,,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% 原形精米 アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/八反草 サタケシリーズ GENKEI 生酒.md,SRC_08896F0D3B68,1
IMADA_4CC11095F6,今田酒造本店,富久長,八反草 サタケシリーズ HENPEI,八反草 サタケシリーズ HENPEI,販売中,2026-09-05,,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% 扁平精米 アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み,,,冷酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 サタケシリーズ HENPEI.md,SRC_C8EBE4290D2F,1
IMADA_59AF2205D6,今田酒造本店,富久長,八反草 サタケシリーズ HENPEI 生酒,八反草 サタケシリーズ HENPEI 生酒,不明,2026-09-05,,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% 扁平精米 アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/八反草 サタケシリーズ HENPEI 生酒.md,SRC_D29A406E997C,1
IMADA_9C8727E052,今田酒造本店,富久長,八反草 純米 ハイブリッド生酛 特別栽培米R3,八反草 純米 ハイブリッド生酛 特別栽培米R3,販売中,2026-09-05,純米酒,,,,,,,は唯一富久長が育てる広島在来品種の八反草,,,冷酒 / 常温 / 燗酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 純米 ハイブリッド生酛 特別栽培米R3.md,SRC_032FD30A6629,1
IMADA_3D40D11F34,今田酒造本店,富久長,八反草 純米 ハイブリッド生酛 特別栽培米R4,八反草 純米 ハイブリッド生酛 特別栽培米R4,販売中,2026-09-05,純米酒,,,,,,,は唯一富久長が育てる広島在来品種の八反草,,,冷酒 / 常温 / 燗酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 純米 ハイブリッド生酛 特別栽培米R4.md,SRC_CC477F3911EF,1
IMADA_EDC754931E,今田酒造本店,富久長,八反草 純米 初しぼり 生酒,八反草 純米 初しぼり 生酒,不明,2026-09-05,純米酒,,,,,,,広島県安芸高田市産特別栽培八反草（契約栽培） 精米歩合 麹米 : 60% 掛米 : 65% 一部に真吟精米 アルコール分 14％ 酵母 広島県酵母 酒母 速醸,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/八反草 純米 初しぼり 生酒.md,SRC_3D65DAC05FF1,1
IMADA_9175858B6F,今田酒造本店,富久長,八反草 純米 軟水仕込 辛口,八反草 純米 軟水仕込 辛口,販売中,2026-09-05,純米酒,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 60% 掛米 : 65% 一部に真吟精米 アルコール分 14％ 酵母 広島県酵母 酒母 速醸 仕様 瓶,,,冷酒 / 常温,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 純米 軟水仕込 辛口.md,SRC_DA8C4396CD39,1
IMADA_0A02CBE998,今田酒造本店,富久長,八反草 純米 軟水仕込 辛口 直汲み 生酒,八反草 純米 軟水仕込 辛口 直汲み 生酒,不明,2026-09-05,純米酒,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 60% 掛米 : 65% 一部に真吟精米 アルコール分 14％ 酵母 広島県酵母 酒母 速醸 仕様 瓶,,,冷酒 / 常温,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/八反草 純米 軟水仕込 辛口 直汲み 生酒.md,SRC_312B83F3C524,1
IMADA_E1B63D8D85,今田酒造本店,富久長,八反草 純米吟醸,八反草 純米吟醸,販売中,2026-09-05,純米吟醸,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒,,,冷酒,,,,,,,,公式オンラインショップで在庫あり / 二次DBでも存在確認,今田酒造本店/八反草 純米吟醸.md,SRC_78B40716F6AF,2
IMADA_4F8AC3A440,今田酒造本店,富久長,八反草 純米吟醸 ハイブリッド生酛,八反草 純米吟醸 ハイブリッド生酛,販売中,2026-09-05,純米吟醸,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 ハイブリッド生酛 仕様 原酒,,,冷酒 / 常温,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 純米吟醸 ハイブリッド生酛.md,SRC_2FE7D2297D9D,1
IMADA_6B5EC1D1FD,今田酒造本店,富久長,八反草 純米吟醸 直汲み 生酒,八反草 純米吟醸 直汲み 生酒,不明,2026-09-05,純米吟醸,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/八反草 純米吟醸 直汲み 生酒.md,SRC_E8749D3C8AB5,1
IMADA_27C7B79896,今田酒造本店,富久長,八反草 純米大吟醸,八反草 純米大吟醸,販売中,2026-09-05,純米大吟醸,,,,,,,は種もみから復活させた広島最古の酒米の在来品種、八反草を減農薬、減肥料で育てました,,,冷酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 純米大吟醸.md,SRC_17CD444F6B56,1
IMADA_4769997066,今田酒造本店,富久長,八反草 純米大吟醸 はしり,八反草 純米大吟醸 はしり,販売中,2026-09-05,純米大吟醸,,,,,,,は種もみから復活させた広島最古の酒米の在来品種、八反草を減農薬、減肥料で育てました,,,冷酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 純米大吟醸 はしり.md,SRC_BDDE988F8B69,1
IMADA_F1779FC5A5,今田酒造本店,富久長,八反草 純米大吟醸 妙花風,八反草 純米大吟醸 妙花風,販売中,2026-09-05,純米大吟醸,,,,,,,は種もみから復活させた広島最古の酒米の在来品種、八反草を減農薬、減肥料で育てました,,,冷酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/八反草 純米大吟醸 妙花風.md,SRC_6AD588369567,1
IMADA_9832400F6F,今田酒造本店,富久長,八反草 純米大吟醸 正花風,八反草 純米大吟醸 正花風,不明,2026-09-05,純米大吟醸,,,,,,,広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 50% アルコール分 15％ 酵母 広島県令和一号酵母 酒母 速醸 仕様 原酒 /,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/八反草 純米大吟醸 正花風.md,SRC_F48B1D01B925,1
IMADA_417274E958,今田酒造本店,富久長,八反錦 純米 初しぼり 生酒,八反錦 純米 初しぼり 生酒,不明,2026-09-05,純米酒,,,,,,,広島県安芸高田市産八反錦 精米歩合 麹米 : 60% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 生酒 /,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/八反錦 純米 初しぼり 生酒.md,SRC_74E43234125D,1
IMADA_3BEFC7AB91,今田酒造本店,富久長,寿〈ことほぎ〉 純米 しぼりたて 生酒,寿〈ことほぎ〉 純米 しぼりたて 生酒,不明,2026-09-05,純米酒,,,,,,,広島県産米 精米歩合 麹米 : 60% 掛米 : 65% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 生酒 / 新酒 おすす,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/寿〈ことほぎ〉 純米 しぼりたて 生酒.md,SRC_94FD9459690B,1
IMADA_560EE9FFEC,今田酒造本店,富久長,山田錦 純米吟醸,山田錦 純米吟醸,販売中,2026-09-05,純米吟醸,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 16％ 酵母 広島県酵母のブレンド 酒母 速醸 仕,,,冷酒,,,,,,,,公式オンラインショップで在庫あり / 二次DBでも存在確認,今田酒造本店/山田錦 純米吟醸.md,SRC_D33901FD8775,2
IMADA_EFE964D792,今田酒造本店,富久長,山田錦 純米吟醸 直汲み 生酒,山田錦 純米吟醸 直汲み 生酒,不明,2026-09-05,純米吟醸,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 16％ 酵母 広島県酵母のブレンド 酒母 速醸 仕,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/山田錦 純米吟醸 直汲み 生酒.md,SRC_8E192D40ADDE,1
IMADA_DB946FC56D,今田酒造本店,富久長,海風土 Seafood 純米,海風土 Seafood 純米,販売中,2026-09-05,純米酒,,13度,,,,,国産米 精米歩合 麹米 : 60% 掛米 : 70% アルコール分 13％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度,,,冷酒 / 冷やして,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/海風土 Seafood 純米.md,SRC_1CF65CFA1A2F,1
IMADA_125F1BB015,今田酒造本店,富久長,海風土 Seafood 純米 うすにごり,海風土 Seafood 純米 うすにごり,不明,2026-09-05,純米酒,,13度,,,,,国産米 精米歩合 麹米 : 60% 掛米 : 70% アルコール分 13％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷,,,冷酒 / 冷やして,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/海風土 Seafood 純米 うすにごり.md,SRC_8A9F7D08300D,1
IMADA_BC8D42DC34,今田酒造本店,富久長,海風土 Seafood 純米スパークリング,海風土 Seafood 純米スパークリング,不明,2026-09-05,純米酒,,,,,,,国産米 精米歩合 麹米 : 60% 掛米 : 70% アルコール分 13％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/海風土 Seafood 純米スパークリング.md,SRC_32BBF76BEF7D,1
IMADA_7872DE9BD2,今田酒造本店,富久長,秋櫻〈コスモス〉 純米 ひやおろし,秋櫻〈コスモス〉 純米 ひやおろし,販売中,2026-09-05,純米酒,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米 精米歩合 麹米 : 60% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速,,,冷酒 / 常温,,,,,,,,公式オンラインショップで在庫あり / 二次DBでも存在確認,今田酒造本店/秋櫻〈コスモス〉 純米 ひやおろし.md,SRC_B85E00DAB5E2,2
IMADA_C671D373A6,今田酒造本店,富久長,秋櫻〈コスモス〉 純米吟醸 ひやおろし,秋櫻〈コスモス〉 純米吟醸 ひやおろし,販売中,2026-09-05,純米吟醸,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速,,,冷酒,,,,,,,,公式オンラインショップで在庫あり / 二次DBでも存在確認,今田酒造本店/秋櫻〈コスモス〉 純米吟醸 ひやおろし.md,SRC_6F072BE48003,2
IMADA_04B3F45EF0,今田酒造本店,富久長,純米にごり スパークリング 白美 HAKUBI,純米にごり スパークリング 白美 HAKUBI,販売中,2026-09-05,純米酒,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米 精米歩合 麹米 : 60% 掛米 : 65% アルコール分 14％ 酵母 広島県酵母 酒母 速,,,冷酒 / 常温,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/純米にごり スパークリング 白美 HAKUBI.md,SRC_4DE7A8242C89,1
IMADA_6A85B05807,今田酒造本店,富久長,純米吟醸 春 うすにごり 生酒,純米吟醸 春 うすにごり 生酒,不明,2026-09-05,純米吟醸,,,,,,,兵庫県産山田錦 / 広島県産米 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 生,,,冷酒 / 冷やして,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/純米吟醸 春 うすにごり 生酒.md,SRC_B778D2B6F20A,1
IMADA_D98C822AA4,今田酒造本店,富久長,純米吟醸 美穂 Biho,純米吟醸 美穂 Biho,販売中,2026-09-05,純米吟醸,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速,,,冷酒,,,,,,,,公式オンラインショップで在庫あり,今田酒造本店/純米吟醸 美穂 Biho.md,SRC_C555FBF888B0,1
IMADA_08AE3B0659,今田酒造本店,富久長,純米吟醸 美穂 Biho 生酒,純米吟醸 美穂 Biho 生酒,不明,2026-09-05,純米吟醸,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/純米吟醸 美穂 Biho 生酒.md,SRC_7416ED35F806,1
IMADA_3BF7BAB665,今田酒造本店,富久長,辛口純米,辛口純米,販売中,2026-09-05,純米酒,,,,,,,の一部に原形精米（真吟）のお米を使用しました,,,冷酒 / 常温 / 燗酒,,,,,,,,公式オンラインショップで在庫あり / 二次DBでも存在確認,今田酒造本店/辛口純米.md,SRC_3C6616E01E64,2
IMADA_A0F8F527E9,今田酒造本店,富久長,辛口純米 夏,辛口純米 夏,不明,2026-09-05,純米酒,,,,,,,の一部に原形精米（真吟）のお米を使用しました,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/辛口純米 夏.md,SRC_E9E11BF5562E,1
IMADA_88C7B7007B,今田酒造本店,富久長,辛口純米 直汲み 生酒,辛口純米 直汲み 生酒,不明,2026-09-05,純米酒,,,,,,,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米 精米歩合 麹米 : 60% 掛米 : 65% 原形精米 アルコール分 15％ 酵母 広島県酵母,,,冷酒,,,,,,,,公式商品ページ掲載・現在在庫なし。終売とは確認できない,今田酒造本店/辛口純米 直汲み 生酒.md,SRC_A24B54BCC978,1
SANYOTSURU_DB4F8EB8A3,山陽鶴酒造,山陽鶴,上撰,上撰,販売中,2026-09-05,,,,,,,,,,,,,,,,,,,公式五酒セットに現行代表酒として掲載,山陽鶴酒造/上撰.md,SRC_3A7A39BC0247,1
SANYOTSURU_5493044407,山陽鶴酒造,山陽鶴,大吟醸,大吟醸,販売中,2026-09-05,大吟醸,,,,,,,,,,,,,,,,,,公式五酒セットに現行代表酒として掲載,山陽鶴酒造/大吟醸.md,SRC_3A7A39BC0247,1
