エリア,酒蔵,ブランド,シリーズ,中核銘柄,優先度,位置づけ,ブランド収録判定,個別SKU確認,分類,甘辛目安,日本酒度,おすすめの飲み方,主要容量,流通区分,確認日,根拠URL,商品出典URL
西条エリア7蔵,白牡丹酒造,白牡丹,Paeon,Paeon(ピオン),B,ワイングラスでおいしい日本酒アワード2026最高金賞,収録済,SKU確認済,特別純米,やや甘口,-1.5,常温 / 冷酒,500ml,一般流通,2026-09-06,https://www.hakubotan.co.jp/%E3%83%AF%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%82%B9%E3%81%A7%E3%81%8A%E3%81%84%E3%81%97%E3%81%84%E6%97%A5%E6%9C%AC%E9%85%92%E3%82%A2%E3%83%AF%E3%83%BC%E3%83%892026/,https://www.hakubotan.co.jp/products/%E3%80%90%E6%97%A5%E6%9C%AC%E9%85%92-%E7%99%BD%E7%89%A1%E4%B8%B9%E3%80%91paeon%E3%83%94%E3%82%AA%E3%83%B3%E3%80%90%E6%96%B0%E3%80%91/
西条エリア7蔵,白牡丹酒造,白牡丹,,純米大吟醸 悠星(ゆうせい),B,2026ワイングラスアワード金賞・現行おすすめ,収録済,個別SKU未確認,純米大吟醸,中口,-0.5,常温,720ml,一般流通,2026-09-06,https://www.hakubotan.co.jp/products/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e6%82%a0%e6%98%9f%e3%82%86%e3%81%86%e3%81%9b%e3%81%84720ml%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,,広島八反 純米吟醸,B,広島酒米を前面に出す現行主要商品,収録済,SKU確認済,純米吟醸,やや辛口,+1.5,常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.hakubotan.co.jp/products/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,西條鶴醸造,西條鶴,,純米大吟醸原酒「神髄」,A,公式おすすめ・純米大吟醸の中心商品,収録済,SKU確認済,純米大吟醸,不明,,常温,"180ml / 500ml / 720ml / 1,800ml",一般流通,2026-09-06,https://saijotsuru.co.jp/?gid=2464785&mode=grp,https://saijotsuru.co.jp/?pid=180817561
西条エリア7蔵,西條鶴醸造,西條鶴,,辛口純米酒『きんさいや』,A,公式おすすめ商品,収録済,SKU確認済,純米,辛口,,要確認,500ml,一般流通,2026-09-06,https://saijotsuru.co.jp/?gid=2464785&mode=grp,https://saijotsuru.co.jp/?pid=189850838
西条エリア7蔵,西條鶴醸造,西條鶴,,純米酒「大地の風」,A,公式おすすめ・定番純米,収録済,SKU確認済,純米,不明,,冷酒 / 常温 / 熱燗,"720ml / 1,800ml",一般流通,2026-09-06,https://saijotsuru.co.jp/?gid=2464785&mode=grp&sort=n,https://saijotsuru.co.jp/?pid=157617524
西条エリア7蔵,西條鶴醸造,西條鶴,,純米吟醸「大地の冠」,A,公式おすすめ・定番純米吟醸,収録済,SKU確認済,純米吟醸,不明,,要確認,"720ml / 1,800ml",一般流通,2026-09-06,https://saijotsuru.co.jp/?gid=2464785&mode=grp&sort=n,https://saijotsuru.co.jp/?pid=157617368
西条エリア7蔵,西條鶴醸造,西條鶴,,吟醸酒「ゴールド西條鶴」,A,公式贈答・おすすめ定番,収録済,SKU確認済,吟醸,不明,,冷酒 / 常温 / ぬる燗,720ml,一般流通,2026-09-06,https://saijotsuru.co.jp/?gid=2539031&mode=grp&sort=p,https://saijotsuru.co.jp/?pid=157617449
西条エリア7蔵,西條鶴醸造,西條鶴,,純米大吟醸「西鶴」,B,公式純米大吟醸カテゴリの現行商品,収録済,SKU確認済,純米大吟醸,不明,,常温,720ml,一般流通,2026-09-06,https://saijotsuru.co.jp/?cbid=2659464&csid=0&mode=cate,https://saijotsuru.co.jp/?pid=157617273
西条エリア7蔵,亀齢酒造,亀齢,,亀齢 辛口純米 八拾,A,現行流通で代表銘柄として広く扱われる辛口純米,収録済,SKU確認済,純米,辛口,＋５,要確認,"720ml / 1,800ml",限定流通,2026-09-06,https://www.yamatoya-e.com/SHOP/kire005c.html,https://www.hiroshimasake.com/product/37
西条エリア7蔵,亀齢酒造,亀齢,,亀齢 大吟醸 創,A,現行流通の代表高級酒,収録済,SKU確認済,大吟醸,辛口,＋５,冷酒 / ロック,720ml,一般流通,2026-09-06,https://kireikireikirei.jimdofree.com/,https://www.hiroshimasake.com/product/17
西条エリア7蔵,亀齢酒造,亀齢萬年,,亀齢萬年 純米大吟醸原酒五拾 生酒,A,亀齢萬年を代表する2026年現行の純米大吟醸ライン,収録済,SKU確認済,純米大吟醸,辛口,,要確認,"720ml / 1,800ml",季節商品,2026-09-06,https://www.hiroshimasake.com/product-list/6,https://www.hiroshimasake.com/product/552
西条エリア7蔵,亀齢酒造,亀齢,,亀齢 純米吟醸 六拾,B,2026年東広島10蔵定期便採用の現行純米吟醸,収録済,個別SKU未確認,純米吟醸,不明,,要確認,720ml,一般流通,2026-09-06,https://e-sake.jp/article/article-1369/,https://e-sake.jp/article/article-1369/
西条エリア7蔵,亀齢酒造,亀齢,,亀齢 上撰,B,地元で継続流通する定番酒,収録済,SKU確認済,普通酒・上撰,辛口,,冷酒 / 燗酒,"1,800ml",一般流通,2026-09-06,https://osake-style.com/SHOP/11012948.html,https://osake-style.com/SHOP/11012948.html
西条エリア7蔵,亀齢酒造,亀齢,,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,B,2026年現行流通の個性派純米,収録済,SKU確認済,純米,甘口,-18,要確認,"720ml / 1,800ml",季節商品,2026-09-06,https://www.sakeweb.jp/product-list/50,https://www.hiroshimasake.com/product/182
西条エリア7蔵,亀齢酒造,亀齢,migaki,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,B,2026年現行流通の原形精米シリーズ,収録済,SKU確認済,純米吟醸,辛口,,要確認,"720ml / 1,800ml",季節商品,2026-09-06,https://www.sakeweb.jp/product-list/50,https://www.hiroshimasake.com/product/550
西条エリア7蔵,福美人酒造,福美人,,大吟醸 蔵乃華 （ くらのはな ）,A,公式が代表的商品として掲載する上位酒,収録済,SKU確認済,大吟醸,やや辛口,+2.0,常温 / 冷酒,"720ml / 1,800ml",一般流通,2026-09-06,https://www.fukubijin.co.jp/product.html,https://www.fukubijin.co.jp/SHOP/1020.html
西条エリア7蔵,福美人酒造,福美人,,大吟醸 西條酒造学校,A,蔵の歴史を体現する代表商品,収録済,SKU確認済,大吟醸,やや辛口,+3.0,冷酒 / 常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.fukubijin.co.jp/product.html,https://www.fukubijin.co.jp/SHOP/1120.html
西条エリア7蔵,福美人酒造,福美人,,純米吟醸,A,公式が代表的商品として掲載する定番,収録済,SKU確認済,純米吟醸,辛口,+4.0,燗酒,"720ml / 1,800ml",一般流通,2026-09-06,https://www.fukubijin.co.jp/product.html,https://www.fukubijin.co.jp/SHOP/1221.html
西条エリア7蔵,福美人酒造,福美人,,純米酒,A,現行定番純米,収録済,SKU確認済,純米,やや辛口,+3.0,燗酒,"720ml / 1,800ml",一般流通,2026-09-06,https://www.fukubijin.co.jp/SHOP/g23587/list.html,https://www.fukubijin.co.jp/SHOP/2020.html
西条エリア7蔵,福美人酒造,福美人,,上撰,A,公式が代表的商品として掲載する定番酒,収録済,SKU確認済,普通酒・上撰,不明,,要確認,720ml,要確認,2026-09-06,https://www.fukubijin.co.jp/product.html,https://www.fukubijin.co.jp/SHOP/2230.html
西条エリア7蔵,福美人酒造,福美人,,本醸造 舞,B,現行本醸造ライン,収録済,SKU確認済,本醸造,不明,,燗酒,"1,800ml",一般流通,2026-09-06,https://www.fukubijin.co.jp/,https://www.fukubijin.co.jp/SHOP/3010.html
西条エリア7蔵,賀茂泉酒造,賀茂泉,,純米吟醸「朱泉本仕込」,A,公式が「賀茂泉を代表するお酒」と明記,収録済,SKU確認済,純米吟醸,中口,+1.0,常温 / ぬる燗 / ロック,"180ml / 720ml / 1,800ml",一般流通,2026-09-06,https://www.kamoizumi.co.jp/sake/index.php,https://www.kamoizumi.co.jp/sake/index.php
西条エリア7蔵,賀茂泉酒造,賀茂泉,,純米大吟醸「壽」,A,公式が醸造技術の極み・究極のお酒と説明,収録済,SKU確認済,純米大吟醸,不明,,要確認,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamoizumi.co.jp/sake/index.php,https://online.kamoizumi.com/?pid=141742792
西条エリア7蔵,賀茂泉酒造,賀茂泉,,純米吟醸「山吹色の酒」,A,公式主要熟成酒,収録済,SKU確認済,純米吟醸,不明,,常温 / ぬる燗 / ロック,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamoizumi.co.jp/sake/index.php,https://www.kamoizumi.co.jp/sake/index.php
西条エリア7蔵,賀茂泉酒造,賀茂泉,,純米酒 一 (はじめ),A,公式が入門酒・ウチ飲み定番と明記,収録済,SKU確認済,純米,不明,,冷酒 / ぬる燗 / 燗酒,"300ml / 720ml / 1,800ml",一般流通,2026-09-06,https://www.kamoizumi.co.jp/sake/index.php,https://online.kamoizumi.com/?pid=188377558
西条エリア7蔵,賀茂泉酒造,賀茂泉,,造賀純米酒,A,東広島造賀地区山田錦を使う地域性の高い定番,収録済,SKU確認済,純米,不明,,常温 / ぬる燗,"720ml / 1,800ml",一般流通,2026-09-06,https://kamoizumi.co.jp/sake/index.php,https://online.kamoizumi.com/?pid=188377419
西条エリア7蔵,賀茂泉酒造,賀茂泉,,純米大吟醸「皇寿」,B,公式主要高級酒,収録済,SKU確認済,純米大吟醸,不明,,冷酒 / 冷やして / 燗酒,500ml,一般流通,2026-09-06,https://www.kamoizumi.co.jp/sake/index.php,https://online.kamoizumi.com/?pid=188371835
西条エリア7蔵,賀茂泉酒造,賀茂泉,,純米大吟醸「延寿」,B,公式主要純米大吟醸,収録済,SKU確認済,純米大吟醸,不明,,冷酒 / 冷やして / 燗酒,500ml,一般流通,2026-09-06,https://www.kamoizumi.co.jp/sake/index.php,https://online.kamoizumi.com/?pid=188371835
西条エリア7蔵,賀茂泉酒造,ROCK HOPPER,,純米吟醸生原酒 ROCK HOPPER,B,公式現行生原酒シリーズ,収録済,SKU確認済,純米吟醸,不明,,ロック,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamoizumi.co.jp/sake/index.php,https://www.kamoizumi.co.jp/sake/index.php
西条エリア7蔵,山陽鶴酒造,山陽鶴,,純米大吟醸 KUBO,B,現行通年返礼品・代表高級酒,収録済,SKU確認済,純米大吟醸,辛口,+4,冷酒,720ml,一般流通,2026-09-06,https://www.furusato.aeon.co.jp/gift-in-return/aaa72316281ae6d75280fb28cb3cae46/,https://www.furusato.aeon.co.jp/gift-in-return/aaa72316281ae6d75280fb28cb3cae46/
西条エリア7蔵,山陽鶴酒造,山陽鶴,,大吟醸 ほんと,B,現行地域製品DBで販売場所掲載の代表大吟醸,収録済,SKU確認済,大吟醸,やや辛口,+4,冷酒 / 常温,720ml,一般流通,2026-09-06,https://www.buyhiro.com/database/products/products_0549/,https://www.buyhiro.com/database/products/products_0549/
西条エリア7蔵,山陽鶴酒造,山陽鶴,,純米吟醸,A,公式五酒セットで「代表的なお酒」と明記,収録済,個別SKU未確認,純米吟醸,不明,,要確認,,一般流通,2026-09-06,https://sanyotsuru.jp/archives/product/gosyu,https://sanyotsuru.jp/archives/product/gosyu
西条エリア7蔵,山陽鶴酒造,山陽鶴,,本醸造,A,公式五酒セットで「代表的なお酒」と明記,収録済,個別SKU未確認,本醸造,不明,,冷酒 / 常温 / 燗酒,,一般流通,2026-09-06,https://sanyotsuru.jp/archives/product/gosyu,https://sanyotsuru.jp/archives/product/gosyu
西条エリア7蔵,山陽鶴酒造,山陽鶴,,上撰,A,公式五酒セットで「代表的なお酒」と明記,収録済,個別SKU未確認,普通酒・上撰,不明,,常温 / 熱燗（提供例）,,一般流通,2026-09-06,https://sanyotsuru.jp/archives/product/gosyu,https://sanyotsuru.jp/archives/product/gosyu
安芸津・黒瀬エリア3蔵,金光酒造,賀茂金秀,,賀茂金秀 純米大吟醸35,A,公式通年最高級ライン,収録済,SKU確認済,純米大吟醸,中口,1.0,冷酒（10～15℃前後）,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamokin.com/line_up/regular.html,https://www.kamokin.com/line_up/regular.html
安芸津・黒瀬エリア3蔵,金光酒造,賀茂金秀,,賀茂金秀 純米大吟醸40,A,公式通年純米大吟醸,収録済,SKU確認済,純米大吟醸,中口,1.0,冷酒（10～15℃前後）,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamokin.com/line_up/regular.html,https://www.kamokin.com/line_up/regular.html
安芸津・黒瀬エリア3蔵,金光酒造,賀茂金秀,,賀茂金秀 純米吟醸 雄町,A,公式通年・食との相性を訴求する代表銘柄,収録済,SKU確認済,純米吟醸,やや辛口,2.0,冷酒（10～15℃前後）,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamokin.com/line_up/regular.html,https://www.kamokin.com/line_up/regular.html
安芸津・黒瀬エリア3蔵,金光酒造,賀茂金秀,,賀茂金秀 特別純米,A,公式通年・「入魂の逸品」,収録済,SKU確認済,特別純米,やや辛口,3.0,冷酒 / 燗酒（45～50℃）,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamokin.com/line_up/regular.html,https://www.kamokin.com/line_up/regular.html
安芸津・黒瀬エリア3蔵,金光酒造,賀茂金秀,,賀茂金秀 特別純米 辛口,A,公式通年辛口ライン,収録済,SKU確認済,特別純米,辛口,8.0,冷酒（10～15℃前後）,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamokin.com/line_up/regular.html,https://www.kamokin.com/line_up/regular.html
安芸津・黒瀬エリア3蔵,金光酒造,賀茂金秀,,賀茂金秀 特別純米13,A,公式通年低アルコール系,収録済,SKU確認済,特別純米,中口,-1.0,冷酒（5～15℃前後）,"720ml / 1,800ml",一般流通,2026-09-06,https://www.kamokin.com/line_up/regular.html,https://j-s-p.or.jp/kuramoto/kanemitsu
安芸津・黒瀬エリア3蔵,金光酒造,桜吹雪,,桜吹雪 特別純米うすにごり生,B,別ブランドの季節商品,収録済,SKU確認済,特別純米,不明,,要確認,"720ml / 1,800ml",季節商品,2026-09-06,https://www.kamokin.com/line_up/Limited/limited.html,https://www.kamokin.com/line_up/Limited/limited.html
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,八反草,富久長 八反草 純米吟醸,A,公式が唯一醸す八反草の中心ライン,収録済,SKU確認済,純米吟醸,不明,,冷酒,"720ml / 1,800ml",一般流通,2026-09-06,https://fukucho.jp/,https://fukucho.jp/products/hattanso-junmaiginjo
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,海風土,富久長 海風土 Seafood 純米,A,公式が海風土シリーズを中心ラインとして訴求,収録済,SKU確認済,純米,不明,,冷酒 / 冷やして,"720ml / 1,800ml",一般流通,2026-09-06,https://fukucho.jp/,https://fukucho.jp/products/seafood
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,,富久長 純米吟醸 美穂 Biho,A,公式現行主要商品,収録済,SKU確認済,純米吟醸,不明,,冷酒,"720ml / 1,800ml",一般流通,2026-09-06,https://fukucho.jp/collections/all,https://fukucho.jp/products/biho
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,,富久長 辛口純米,A,公式現行定番,収録済,SKU確認済,純米,辛口,,冷酒 / 常温 / 燗酒,"720ml / 1,800ml",一般流通,2026-09-06,https://fukucho.jp/collections/all,https://fukucho.jp/products/karakuchi
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,八反草,富久長 八反草 純米大吟醸 妙花風,A,公式トップおすすめ商品に掲載する八反草上位酒,収録済,SKU確認済,純米大吟醸,不明,,冷酒,720ml,一般流通,2026-09-06,https://fukucho.jp/,https://fukucho.jp/products/daiginjo_myokafu
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,八反草 サタケシリーズ,富久長 八反草 サタケシリーズ HENPEI,B,公式おすすめ・サタケ精米シリーズ,収録済,SKU確認済,その他,不明,,冷酒,720ml,一般流通,2026-09-06,https://fukucho.jp/,https://fukucho.jp/products/hattansohenpei
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,白美,富久長 純米にごり スパークリング 白美 HAKUBI,B,現行スパークリング主要商品,収録済,SKU確認済,純米,不明,,冷酒 / 常温,500ml,一般流通,2026-09-06,https://fukucho.jp/collections/all,https://fukucho.jp/products/hakubi
安芸津・黒瀬エリア3蔵,柄酒造,9代目於多福,,9代目於多福 純米大吟醸 火入れ,A,現行中心シリーズの上位酒,収録済,SKU確認済,純米大吟醸,不明,,冷酒 / 常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.tsukasyuzou.jp/collections/all,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米大吟醸-720ml-1800ml
安芸津・黒瀬エリア3蔵,柄酒造,9代目於多福,,9代目於多福 純米吟醸 火入れ,A,現行中心シリーズ,収録済,SKU確認済,純米吟醸,不明,,冷酒 / 常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.tsukasyuzou.jp/collections/all,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米吟醸
安芸津・黒瀬エリア3蔵,柄酒造,9代目於多福,,9代目於多福 純米 火入れ,A,現行中心シリーズ,収録済,個別SKU未確認,純米,不明,,冷酒 / 常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.tsukasyuzou.jp/collections/all,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米
安芸津・黒瀬エリア3蔵,柄酒造,於多福,,於多福 大吟醸,A,従来主ブランドの上位定番,収録済,SKU確認済,大吟醸,不明,,冷酒 / 常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.tsukasyuzou.jp/collections/all,https://www.tsukasyuzou.jp/products/於多福-大吟醸-1800ml
安芸津・黒瀬エリア3蔵,柄酒造,於多福,,於多福 純米吟醸,A,従来主ブランドの主要商品,収録済,SKU確認済,純米吟醸,不明,,冷酒 / 冷やして / 常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.tsukasyuzou.jp/collections/all,https://www.tsukasyuzou.jp/products/於多福-純米吟醸-1800ml
安芸津・黒瀬エリア3蔵,柄酒造,9代目於多福,,9代目於多福 特別純米 火入れ,B,現行中心シリーズ,収録済,SKU確認済,特別純米,不明,,冷酒 / 常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.tsukasyuzou.jp/collections/all,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-特別純米
安芸津・黒瀬エリア3蔵,柄酒造,於多福,,於多福 一番取り,B,従来ブランド高級ライン,収録済,SKU確認済,その他,不明,,冷酒,720ml,一般流通,2026-09-06,https://www.tsukasyuzou.jp/collections/all,https://www.tsukasyuzou.jp/products/関西一-一番取り-720ml
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,賀茂鶴 光壽,B,公式直営ECで現行販売するプレミアム・スパークリングの主要ライン,収録済,SKU確認済,その他,不明,,要確認,750ml,一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/kouju750.html,https://shop.kamotsuru.jp/SHOP/kouju750.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,純米大吟醸 瑞兆賀茂鶴,B,公式直営ECで現行販売する高級純米大吟醸,収録済,SKU確認済,純米大吟醸,不明,,要確認,720ml,一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/zuicho720.html,https://shop.kamotsuru.jp/SHOP/zuicho720.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,大吟醸 吉祥 賀茂鶴,B,公式直営ECで現行販売する高級大吟醸,収録済,SKU確認済,大吟醸,不明,,要確認,720ml,一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/kissho720.html,https://shop.kamotsuru.jp/SHOP/kissho720.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,大吟醸 天凜,B,公式直営ECで現行販売する高級大吟醸,収録済,SKU確認済,大吟醸,不明,,要確認,720ml,一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/tenrin720.html,https://shop.kamotsuru.jp/SHOP/tenrin720.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,大吟醸 吟凛雅,B,公式直営ECで現行販売するプレミアム大吟醸,収録済,SKU確認済,大吟醸,不明,,要確認,900ml,一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/ginringa900.html,https://shop.kamotsuru.jp/SHOP/ginringa900.html
西条エリア7蔵,賀茂鶴酒造,酒中在心,,酒中在心 鶯 純米大吟醸 山田錦,B,酒中在心シリーズの現行純米大吟醸,収録済,SKU確認済,純米大吟醸,不明,,要確認,720ml,限定流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-uguisu_720.html,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-uguisu_720.html
西条エリア7蔵,白牡丹酒造,白牡丹,,広島上撰 金紋,A,現行の長期定番・幅広い容量展開を持つ地域定番酒,収録済,SKU確認済,普通酒・上撰,やや甘口,-2,冷酒 / 常温 / ぬる燗 / 熱燗,"180ml / 200ml / 300ml / 720ml / 1,800ml / 2,000ml",一般流通,2026-09-06,https://www.hakubotan.co.jp/products/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,亀齢酒造,亀齢,,純米大吟醸 亀香,A,公式直売所の主な販売酒・代表上位酒,収録済,個別SKU未確認,純米大吟醸,不明,,常温 / 冷酒,,一般流通,2026-09-06,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/
西条エリア7蔵,亀齢酒造,亀齢,,吉田屋の酒,A,公式直売所限定の代表酒として現行販売,収録済,個別SKU未確認,その他,不明,,要確認,,一般流通,2026-09-06,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/
