source,酒蔵,候補名,日本酒度,飲用温度,精米歩合,ALC,補足,source_ref,照合状態,照合先,類似度
sake_suggest,賀茂鶴酒造,賀茂鶴（かもつる） 純米大吟醸 広島錦,3,冷や,50,16,純米大吟醸,sake_suggest_ui_api_page_244.json,一致,純米大吟醸 広島錦,1.0
sake_suggest,賀茂鶴酒造,賀茂鶴（かもつる） 大吟醸 限定搾汁,3,冷や,50,16,大吟醸,sake_suggest_ui_api_page_244.json,未一致,大吟醸 賀茂鶴 双鶴,0.4
sake_suggest,賀茂鶴酒造,大吟醸 賀茂鶴（かもつる） 双鶴,3,冷や,32,16,大吟醸,sake_suggest_ui_api_page_247.json,一致,大吟醸 賀茂鶴 双鶴,1.0
sake_suggest,賀茂鶴酒造,賀茂鶴（かもつる） 冷温 蔵生囲い 14度,2,冷や,60,14,純米吟醸(生詰),sake_suggest_ui_api_page_248.json,候補,生貯蔵酒 冷温「蔵生」囲い,0.632
sake_suggest,賀茂鶴酒造,賀茂鶴（かもつる） 生囲い純米,2,冷や・常温,60,15,純米酒(生囲い),sake_suggest_ui_api_page_263.json,未一致,純米酒,0.5
sakeopendata,賀茂鶴酒造,賀茂鶴,,15℃前後又は40℃前後,65,14～15,純米,https://www.sake-sennin.com/fbo/web/app.php/user/product/32,未一致,,0.0
sakeopendata,賀茂泉酒造,賀茂泉 造賀酒,+0,15℃前後または35～45℃,65,15,純米,https://www.sake-sennin.com/fbo/web/app.php/user/product/246,一致,造賀純米酒,0.75
sakeopendata,亀齢酒造,綺麗,,15℃前後又は40℃前後,,,純米吟醸,https://www.sake-sennin.com/fbo/web/app.php/user/product/350,未一致,,0.0
sakeopendata,賀茂鶴酒造,賀茂鶴 大吟峰,,15度前後,,,純米大吟醸,https://www.sake-sennin.com/fbo/web/app.php/user/product/404,未一致,純米大吟醸 大吟峰,0.545
sakeopendata,白牡丹酒造,白牡丹 広島八反,,10℃前後,,,吟醸,https://www.sake-sennin.com/fbo/web/app.php/user/product/431,一致,広島八反 純米吟醸,0.92
sakeopendata,白牡丹酒造,白牡丹 千本錦,,10℃前後,,,吟醸,https://www.sake-sennin.com/fbo/web/app.php/user/product/430,未一致,本醸造,0.333
sakeopendata,白牡丹酒造,白牡丹 山田錦,,12℃前後又は、40℃前後,,,純米,https://www.sake-sennin.com/fbo/web/app.php/user/product/459,候補,山田錦 純米酒,0.667
sakeopendata,金光酒造,賀茂金秀,,18℃前後または40℃前後,,,特別純米,https://www.sake-sennin.com/fbo/web/app.php/user/product/610,一致,賀茂金秀 特別純米,0.92
sakeopendata,今田酒造本店,富久長 ひやおろし 秋桜,,,50,15,吟醸,,未一致,秋櫻〈コスモス〉 純米 ひやおろし,0.5
sakenowa,賀茂泉酒造,賀茂泉,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,賀茂鶴酒造,賀茂鶴,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,今田酒造本店,富久長,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,白牡丹酒造,白牡丹,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,金光酒造,賀茂金秀,,,,,ブランド候補,sakenowa_brands.json,一致,賀茂金秀 特別純米,0.92
sakenowa,西條鶴醸造,西條鶴,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,福美人酒造,福美人,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,亀齢酒造,亀齢,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,金光酒造,神のいたずら,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,亀齢酒造,吉田屋,,,,,ブランド候補,sakenowa_brands.json,未一致,亀齢萬年 山田錦 生酒,0.2
sakenowa,賀茂泉酒造,造賀,,,,,ブランド候補,sakenowa_brands.json,候補,造賀純米酒,0.571
sakenowa,西條鶴醸造,米の精 雫,,,,,ブランド候補,sakenowa_brands.json,未一致,純米酒「大地の風」,0.364
sakenowa,西條鶴醸造,神髄,,,,,ブランド候補,sakenowa_brands.json,未一致,純米大吟醸原酒「神髄」,0.364
sakenowa,金光酒造,桜吹雪,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,賀茂鶴酒造,南洲翁,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,今田酒造本店,海風土,,,,,ブランド候補,sakenowa_brands.json,未一致,海風土 Seafood 純米,0.4
sakenowa,今田酒造本店,美穂,,,,,ブランド候補,sakenowa_brands.json,未一致,純米吟醸 美穂 Biho,0.333
sakenowa,亀齢酒造,亀齢萬年,,,,,ブランド候補,sakenowa_brands.json,未一致,亀齢萬年 山田錦 生酒,0.444
sakenowa,山陽鶴酒造,山陽鶴,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,西條鶴醸造,蔵楽,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,今田酒造本店,温州みかん酒,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
sakenowa,賀茂泉酒造,NAO,,,,,ブランド候補,sakenowa_brands.json,一致,NAO,1.0
sakenowa,白牡丹酒造,藝陽男山,,,,,ブランド候補,sakenowa_brands.json,未一致,山田錦 純米酒,0.2
sakenowa,柄酒造,於多福,,,,,ブランド候補,sakenowa_brands.json,未一致,,0.0
jsake,今田酒造本店,富久長 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-4c7f0380/,未一致,八反草 サタケシリーズ GENKEI,0.077
jsake,白牡丹酒造,白牡丹 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-43cc1697/,未一致,広島の酒,0.286
jsake,白牡丹酒造,白牡丹酒造 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-53f9011f/,未一致,純米酒 山田錦 米だけの酒,0.261
jsake,賀茂泉酒造,賀茂泉 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-0ea9e488/,未一致,山吹色の酒,0.267
jsake,賀茂泉酒造,賀茂泉酒造 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-8c5397c9/,未一致,純米酒 一 (はじめ),0.125
jsake,金光酒造,賀茂金秀 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-cd141f5b/,未一致,賀茂金秀 特別純米,0.364
jsake,賀茂鶴酒造,賀茂鶴 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-a97d376e/,未一致,本醸造 上等酒,0.25
jsake,賀茂鶴酒造,賀茂鶴酒造 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-84eeafe9/,未一致,生貯蔵酒 冷温「蔵生」囲い,0.182
jsake,亀齢酒造,亀齢 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-31a7cfe0/,未一致,亀齢萬年 山田錦おりがらみ 生酒,0.182
jsake,亀齢酒造,亀齢酒造 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-1edd59f7/,未一致,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒,0.182
jsake,西條鶴醸造,西條鶴 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-7571a50d/,未一致,純米生原酒,0.133
jsake,西條鶴醸造,西條鶴醸造 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-0b6443fe/,未一致,純米吟醸「大地の冠」,0.2
jsake,山陽鶴酒造,山陽鶴酒造 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-6bc28226/,未一致,本醸造,0.111
jsake,山陽鶴酒造,山陽鶴 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-4a184a87/,未一致,本醸造,0.125
jsake,亀齢酒造,信州亀齢 のタグがついた日本酒,,,,,ページタイトル候補,https://jsake.jp/tag/tags-d91a7e3f/,未一致,亀齢萬年 山田錦おりがらみ 生酒,0.154
jsake,今田酒造本店,富久長 純米吟醸 八反草の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/fukucho-junmai-ginjo/,未一致,八反草 純米吟醸,0.333
jsake,白牡丹酒造,白牡丹 純米吟醸の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/hakubotan-junmai-ginjo/,一致,純米吟醸,0.92
jsake,賀茂泉酒造,賀茂泉 純米吟醸 朱泉 本仕込の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamoizumi-junmai/,一致,朱泉本仕込,0.92
jsake,金光酒造,賀茂金秀 純米吟醸の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamokin-shu/,候補,賀茂金秀 純米吟醸 雄町,0.571
jsake,賀茂鶴酒造,賀茂鶴 純米大吟醸 広島錦の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamotsuru-hiroshima-nishiki/,一致,純米大吟醸 広島錦,0.92
jsake,賀茂鶴酒造,賀茂鶴 本醸造 上等酒の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamotsuru-joutou/,一致,本醸造 上等酒,0.92
jsake,賀茂鶴酒造,賀茂鶴 純米吟醸酒の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamotsuru-junmai-ginjo/,一致,純米吟醸,0.92
jsake,賀茂鶴酒造,賀茂鶴 大吟醸 双鶴の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamotsuru-soukaku/,未一致,大吟醸 賀茂鶴 双鶴,0.435
jsake,賀茂鶴酒造,賀茂鶴 特製ゴールド賀茂鶴 大吟醸の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamotsuru-tokusei-gold/,未一致,大吟醸 特製ゴールド賀茂鶴,0.529
jsake,賀茂鶴酒造,賀茂鶴 特別本醸造 超特撰特等酒の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kamotsuru-tokutou/,一致,特別本醸造 超特撰特等酒,0.92
jsake,亀齢酒造,亀齢 辛口純米 広島八反の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/kirei-hiroshima-junmai/,未一致,亀齢 辛口純米 八拾,0.417
jsake,西條鶴醸造,西條鶴 純米吟醸 広島流超辛口の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/saijotsuru-junmai-ginjo/,未一致,純米吟醸「大地の冠」,0.357
jsake,山陽鶴酒造,山陽鶴 恋のしずく 純米吟醸の評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/sanyotsuru-koinoshizuku/,一致,純米吟醸,0.92
jsake,亀齢酒造,信州亀齢 純米吟醸 ひとごこちの評価・味わいレビュー,,,,,ページタイトル候補,https://jsake.jp/items/shinshukirei-junmai-ginjo/,未一致,亀齢 純米吟醸 六拾,0.276
