酒蔵,元データ,処理,理由,統合先
金光酒造,賀茂金秀 特別純米 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 特別純米 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 特別純米 辛口 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 特別純米 辛口 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 特別純米13 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 特別純米13 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 特別純米秋あがり 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 特別純米秋あがり 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 特別純米
金光酒造,賀茂金秀 純米 お燗酒 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,賀茂金秀 純米しぼりたて生 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,賀茂金秀 純米しぼりたて生 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,賀茂金秀 純米吟醸 愛山 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米吟醸 雄町
金光酒造,賀茂金秀 純米吟醸 愛山 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米吟醸 雄町
金光酒造,賀茂金秀 純米吟醸 雄町 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米吟醸 雄町
金光酒造,賀茂金秀 純米吟醸 雄町 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米吟醸 雄町
金光酒造,賀茂金秀 純米大吟醸35 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米大吟醸35
金光酒造,賀茂金秀 純米大吟醸35 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米大吟醸35
金光酒造,賀茂金秀 純米大吟醸40 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米大吟醸35
金光酒造,賀茂金秀 純米大吟醸40 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 純米大吟醸35
金光酒造,賀茂金秀 辛口夏純 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 辛口特別純米
金光酒造,賀茂金秀 辛口夏純 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,賀茂金秀 辛口特別純米
金光酒造,賀茂金秀 麗酸 雄町60 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,金光酒造 桜吹雪 純米大吟醸 1.8L,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,金光酒造 桜吹雪 純米大吟醸 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
