酒蔵,ブランド,シリーズ,中核銘柄,優先度,位置づけ,根拠URL
今田酒造本店,富久長,,富久長 純米吟醸 美穂 Biho,A,公式現行主要商品,https://fukucho.jp/collections/all
今田酒造本店,富久長,,富久長 辛口純米,A,公式現行定番,https://fukucho.jp/collections/all
今田酒造本店,富久長,八反草,富久長 八反草 純米大吟醸 妙花風,A,公式トップおすすめ商品に掲載する八反草上位酒,https://fukucho.jp/
今田酒造本店,富久長,八反草 サタケシリーズ,富久長 八反草 サタケシリーズ HENPEI,B,公式おすすめ・サタケ精米シリーズ,https://fukucho.jp/
今田酒造本店,富久長,白美,富久長 純米にごり スパークリング 白美 HAKUBI,B,現行スパークリング主要商品,https://fukucho.jp/collections/all
柄酒造,9代目於多福,,9代目於多福 純米大吟醸,A,現行中心シリーズの上位酒,https://www.tsukasyuzou.jp/collections/all
柄酒造,9代目於多福,,9代目於多福 純米吟醸,A,現行中心シリーズ,https://www.tsukasyuzou.jp/collections/all
柄酒造,9代目於多福,,9代目於多福 純米,A,現行中心シリーズ,https://www.tsukasyuzou.jp/collections/all
柄酒造,於多福,,於多福 大吟醸,A,従来主ブランドの上位定番,https://www.tsukasyuzou.jp/collections/all
柄酒造,於多福,,於多福 純米吟醸,A,従来主ブランドの主要商品,https://www.tsukasyuzou.jp/collections/all
柄酒造,9代目於多福,,9代目於多福 特別純米,B,現行中心シリーズ,https://www.tsukasyuzou.jp/collections/all
柄酒造,於多福,,於多福 一番取り,B,従来ブランド高級ライン,https://www.tsukasyuzou.jp/collections/all
賀茂鶴酒造,賀茂鶴,,賀茂鶴 光壽,B,公式直営ECで現行販売するプレミアム・スパークリングの主要ライン,https://shop.kamotsuru.jp/SHOP/kouju750.html
賀茂鶴酒造,賀茂鶴,,純米大吟醸 瑞兆賀茂鶴,B,公式直営ECで現行販売する高級純米大吟醸,https://shop.kamotsuru.jp/SHOP/zuicho720.html
賀茂鶴酒造,賀茂鶴,,大吟醸 吉祥 賀茂鶴,B,公式直営ECで現行販売する高級大吟醸,https://shop.kamotsuru.jp/SHOP/kissho720.html
賀茂鶴酒造,賀茂鶴,,大吟醸 天凜,B,公式直営ECで現行販売する高級大吟醸,https://shop.kamotsuru.jp/SHOP/tenrin720.html
賀茂鶴酒造,賀茂鶴,,大吟醸 吟凛雅,B,公式直営ECで現行販売するプレミアム大吟醸,https://shop.kamotsuru.jp/SHOP/ginringa900.html
賀茂鶴酒造,酒中在心,,酒中在心 鶯 純米大吟醸 山田錦,B,酒中在心シリーズの現行純米大吟醸,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-uguisu_720.html
