酒蔵,ブランド,シリーズ,ブランド優先度,ブランド位置づけ,商品名,分類,甘辛目安,甘辛判定根拠,日本酒度,精米歩合,アルコール度数,おすすめの飲み方,飲み方情報,飲み方出典URL,使用米,容量,参考価格,流通区分,備考,出典URL,出典数,酒蔵の歴史,銘柄の歴史,おすすめの飲み方（文章）
今田酒造本店,富久長,,A,公式現行定番,辛口純米,純米,辛口,商品名に辛口表記,,60% / 65%,15度,冷酒 / 常温 / 燗酒,出典記載,https://fukucho.jp/products/karakuchi,東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米,"720ml / 1,800ml","1,980～3,300円",一般流通,公式オンラインショップで在庫あり / 二次DBでも存在確認,https://fukucho.jp/products/karakuchi,2,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】定番の辛口純米を継続的に改良し、2021BYからはよりすっきりしたキレを目指して原料米の一部に原形精米（真吟）を導入。2026年SAKE COMPETITIONでBRONZEを受賞している。,冷酒では輪郭をすっきりと、40℃前後のぬる燗から燗酒では米の旨味と酸のふくらみを引き出す飲み方がおすすめ。食事に合わせるなら冷酒と燗の両方を試し、好みの温度帯を探すとよい。
今田酒造本店,富久長,,A,公式が唯一醸す八反草の中心ライン,八反草 純米吟醸,純米吟醸,不明,公開情報で判定材料不足,,50% / 60%,15度,冷酒,出典記載,https://fukucho.jp/products/hattanso-junmaiginjo,八反草（契約栽培）,"720ml / 1,800ml","2,200～4,290円",一般流通,公式オンラインショップで在庫あり / 二次DBでも存在確認,https://fukucho.jp/products/hattanso-junmaiginjo,2,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】今田酒造本店が復活栽培した広島在来の酒米「八反草」を伝統の吟醸造りで醸すフラッグシップ。2021年CINVE、2022年Kura Master、2026年BANGKOK SAKE CHALLENGEなど国内外で受賞を重ねている。,10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。
今田酒造本店,富久長,,C,,八反草 純米吟醸 ハイブリッド生酛,純米吟醸,不明,公開情報で判定材料不足,,,,冷酒 / 常温,出典記載,https://fukucho.jp/products/hybridkimoto-junmaiginjo,広島県安芸高田市産八反草（契約栽培）,"720ml / 1,800ml","2,200～4,290円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hybridkimoto-junmaiginjo,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】2013年、富久長が高温糖化と伝統的な生酛系酒母を組み合わせた「ハイブリッド酒母」を開発。その技術を復活栽培した八反草へ適用し、複雑味を引き出す商品へ発展させた。,10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。常温も適温に含まれるため、グラスの中で少し温度を上げて香りと旨味の変化を比べるとよい。
今田酒造本店,富久長,,C,,山田錦 純米吟醸,純米吟醸,不明,公開情報で判定材料不足,,,,冷酒,出典記載,https://fukucho.jp/products/yamadanishiki-junmaiginjo,広島県東広島市産山田錦 / 兵庫県特A地区山田錦,"720ml / 1,800ml","2,200～4,290円",一般流通,公式オンラインショップで在庫あり / 二次DBでも存在確認,https://fukucho.jp/products/yamadanishiki-junmaiginjo,2,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】今田美穂が杜氏になって初めて挑戦した思い入れのある銘柄。「純米吟醸でも造りは純米大吟醸と同じくらい極める」という考えで設計され、富久長の顔として長く親しまれてきた。,10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。
今田酒造本店,富久長,,C,,秋櫻〈コスモス〉 純米吟醸 ひやおろし,純米吟醸,不明,公開情報で判定材料不足,,,,冷酒,出典記載,https://fukucho.jp/products/cosmos-junmaiginjo,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米,"720ml / 1,800ml","1,870～3,850円",季節商品,公式オンラインショップで在庫あり / 二次DBでも存在確認,https://fukucho.jp/products/cosmos-junmaiginjo,2,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】「秋櫻」をコスモスの和名から取った秋季商品で、瓶火入れ後ひと夏熟成させて出荷する。純米吟醸版は30年以上にわたり愛されてきた富久長の秋酒ロングセラーである。,10〜15℃程度の冷酒を起点に、熟成でまとまった旨味を引き出すのがおすすめ。
今田酒造本店,富久長,,A,公式現行主要商品,純米吟醸 美穂 Biho,純米吟醸,不明,公開情報で判定材料不足,,50% / 60%,15度,冷酒,出典記載,https://fukucho.jp/products/biho,東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米,"720ml / 1,800ml","2,090～3,960円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/biho,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】発売以来約30年続く純米吟醸のロングセラー。杜氏・今田美穂と同じ字を使いながら「びほ」と読み、軽やかな食中酒を志向する商品として長く展開されている。,10〜15℃程度の冷酒を起点に、吟醸香と軽快な旨味のバランスを活かすのがおすすめ。
今田酒造本店,富久長,,A,公式トップおすすめ商品に掲載する八反草上位酒,八反草 純米大吟醸,純米大吟醸,不明,公開情報で判定材料不足,,40%,15度,冷酒,出典記載,https://fukucho.jp/products/daiginjo,八反草（特別栽培米）,720ml,"3,850円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/daiginjo,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】復活栽培した八反草を減農薬・減肥料で育て、純米大吟醸として仕立てる少量生産品。年間生産は約1200本と案内され、2026年SAKE COMPETITIONでSILVERを受賞した。,10〜15℃程度の冷酒を起点に、繊細な香りと上品な旨味を活かすのがおすすめ。
今田酒造本店,富久長,,C,,八反草 純米大吟醸 はしり,純米大吟醸,不明,公開情報で判定材料不足,,,,冷酒,出典記載,https://fukucho.jp/products/daiginjo_hashiri,八反草（特別栽培米）,720ml,"6,600円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/daiginjo_hashiri,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】八反草純米大吟醸の搾り始めに流れ出る「あらばしり」部分を瓶詰めする限定商品。年間生産約300本とされ、同じ純米大吟醸の中でも初期搾汁だけを分けた派生品として展開されている。,10〜15℃程度の冷酒を起点に、繊細な香りと上品な旨味を活かすのがおすすめ。
今田酒造本店,富久長,,A,公式トップおすすめ商品に掲載する八反草上位酒,八反草 純米大吟醸 妙花風,純米大吟醸,不明,公開情報で判定材料不足,,40%,16度,冷酒,出典記載,https://fukucho.jp/products/daiginjo_myokafu,八反草（特別栽培米）,720ml,"13,200円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/daiginjo_myokafu,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】復活栽培した八反草を用い、袋吊りで自然に滴る最初の雫だけを集める希少な純米大吟醸。名は世阿弥が説いた芸の最高位「妙花風」に由来し、年間生産約90本と案内されている。,10〜15℃程度の冷酒を起点に、繊細な香りと上品な旨味を活かすのがおすすめ。
柄酒造,9代目於多福,,C,,9代目於多福 protos. 火入れ,その他,不明,公開情報で判定材料不足,,７１%,１３度,冷酒 / 常温,現行酒販店商品情報,https://tawawasake.base.shop/items/134292512,八反錦,720ml,"1,980円",一般流通,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/9代目於多福-protos-720ml-火入れ,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。 【商品史】9代目蔵元・杜氏が数学の「素数」をテーマにスペックを設計した9代目於多福シリーズの商品で、火入れ720mlは2026年7月22日に発売開始。伝統銘柄に新しい発想を重ねる現行ラインを象徴する一本である。,10〜15℃程度に冷やして、香味のまとまりを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
柄酒造,9代目於多福,,C,,9代目於多福 純米 つきあかり,純米,不明,公開情報で判定材料不足,,60%,15度,冷酒 / 常温,出典記載,https://www.tsukasyuzou.jp/products/9代目於多福-つきあかり-720ml,山田錦,720ml,"2,090円",季節商品,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/9代目於多福-つきあかり-720ml,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。 【商品史】9代目於多福の季節商品として2026年9月3日に発売開始された純米酒。9代目蔵元・杜氏による新しい於多福ラインの2026年秋商品として加わった。,10〜15℃程度に冷やして、米の旨味と酸のふくらみを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
柄酒造,於多福,,B,従来ブランド高級ライン,於多福 一番取り,その他,不明,公開情報で判定材料不足,,40％,16.5度,冷酒,出典記載,https://www.tsukasyuzou.jp/products/関西一-一番取り-720ml,千本錦,720ml,"6,600円",一般流通,公式オンラインショップで販売確認,https://www.tsukasyuzou.jp/products/関西一-一番取り-720ml,1,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、使用米 千本錦、精米歩合 40％の設計で展開されている。,10〜15℃程度に冷やして、香味のまとまりを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
柄酒造,於多福,,A,従来主ブランドの上位定番,於多福 大吟醸,大吟醸,不明,公開情報で判定材料不足,,40%,16.5度,冷酒 / 常温,出典記載,https://www.tsukasyuzou.jp/products/於多福-大吟醸-1800ml,千本錦,"720ml / 1,800ml","3,080～6,160円",一般流通,公式オンラインショップで販売確認 / 二次DBでも存在確認,https://www.tsukasyuzou.jp/products/於多福-大吟醸-1800ml,3,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,【ブランド史】1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。 【商品史】2026-09-06時点で公式商品ページに現行品として掲載され、大吟醸、使用米 千本錦、精米歩合 40%の設計で展開されている。,10〜15℃程度の冷酒を起点に、繊細な香りと上品な旨味を活かすのがおすすめ。常温も適温に含まれるため、グラスの中で少し温度を上げて香りと旨味の変化を比べるとよい。
